python2-cairo 1.10.0-2
python2-cffi 1.2.1-1
python2-cheetah 2.4.4-6
python2-configobj 5.0.6-1
python2-cryptography 1.0.1-1
python2-dbus 1.2.0-4
python2-deepin-gsettings 0.1.20131016-1
python2-docutils 0.12-1
python2-enum34 1.0.4-1
python2-gconf 2.28.1-9
python2-gobject 3.16.2-1
python2-gobject2 2.28.6-11
python2-idna 2.0-1
python2-ipaddr 2.1.11-1
python2-ipaddress 1.0.14-1
python2-ipy 0.83-1
python2-jinja 2.8-1
python2-mako 1.0.2-2
python2-markdown 2.6.2-1
python2-markupsafe 0.23-2
python2-nbxmpp 0.5.3-1
python2-numpy 1.9.2-2
python2-packaging 15.3-1
python2-pdb-clone 1.10-1
python2-ply 3.7-1
python2-pyasn1 0.1.8-1
python2-pycparser 2.14-1
python2-pycurl 7.19.5.1-2
python2-pygments 2.0.2-2
python2-pykka 1.2.0-1
python2-pyopenssl 0.15.1-1
python2-pyqt4 4.11.4-1
python2-pyserial 2.7-4
python2-pytz 2015.4-1
python2-requests 2.7.0-1
python2-setuptools 1:18.3.1-1
python2-sip 4.16.9-1
python2-six 1.9.0-1
python2-snowballstemmer 1.2.0-1
python2-sphinx 1.3.1-9
python2-sphinx-alabaster-theme 0.7.6-1
python2-sphinx_rtd_theme 0.1.8-1
python2-tornado 4.2.1-1
pywebkitgtk 1.1.8-3
qca 2.0.3-5
qconf-git 1.5_20150803-1
qemu 2.4.0-3
qjackctl 0.4.0-2
qjson 0.8.1-3
qpdf 5.1.3-1
qrencode 3.4.4-1
qt4 4.8.7-2
qt5-base 5.5.0-2
qt5-declarative 5.5.0-2
qt5-location 5.5.0-2
qt5-quick1 5.5.0-2
qt5-quickcontrols 5.5.0-2
qt5-script 5.5.0-2
qt5-sensors 5.5.0-2
qt5-svg 5.5.0-2
qt5-tools 5.5.0-2
qt5-translations 5.5.0-2
qt5-webchannel 5.5.0-2
qt5-webkit 5.5.0-2
qt5-x11extras 5.5.0-2
qt5-xmlpatterns 5.5.0-2
qtchooser 48-1
qtcreator 3.5.0-1
qtwebkit 2.3.4-2
qwt 6.1.2-2
randrproto 1.5.0-1
rapidjson v1.0.1-1
raptor 2.0.15-2
rarian 0.8.1-4
rasqal 1:0.9.33-1
readline 6.3.008-1
recode 3.6-8
recordproto 1.14.2-2
redland 1:1.0.17-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
